a,b,c,d,e,f,g,h,class
0.43,0.67,0.48,0.27,0.50,0.00,0.53,0.22,MIT
0.51,0.40,0.56,0.17,0.50,0.50,0.49,0.22,CYT
0.50,0.54,0.48,0.65,0.50,0.00,0.53,0.22,MIT
0.42,0.37,0.59,0.20,0.50,0.00,0.52,0.29,NUC
0.66,0.55,0.45,0.19,0.50,0.00,0.46,0.22,MIT
0.40,0.45,0.57,0.18,0.50,0.00,0.56,0.26,CYT
0.41,0.54,0.39,0.20,0.50,0.00,0.51,0.22,ME3
0.37,0.36,0.56,0.18,0.50,0.00,0.48,0.26,VAC
0.74,0.57,0.51,0.28,0.50,0.00,0.58,0.22,VAC
0.37,0.32,0.47,0.18,0.50,0.00,0.45,0.25,NUC
0.48,0.43,0.51,0.32,0.50,0.00,0.52,0.43,NUC
0.34,0.46,0.57,0.09,0.50,0.00,0.55,0.22,CYT
0.60,0.50,0.44,0.61,0.50,0.00,0.47,0.22,MIT
0.46,0.49,0.58,0.23,0.50,0.00,0.44,0.22,MIT
0.43,0.57,0.51,0.49,0.50,0.00,0.48,0.22,MIT
0.46,0.38,0.47,0.22,0.50,0.00,0.52,0.27,MIT
0.49,0.61,0.49,0.25,0.50,0.00,0.50,0.28,CYT
0.65,0.65,0.52,0.16,0.50,0.00,0.60,0.22,CYT
0.27,0.60,0.48,0.23,0.50,0.00,0.55,0.22,CYT
0.55,0.53,0.55,0.46,0.50,0.00,0.52,0.22,MIT
0.58,0.62,0.54,0.17,0.50,0.00,0.48,0.22,MIT
0.53,0.51,0.55,0.05,0.50,0.00,0.45,0.25,NUC
0.34,0.54,0.50,0.21,0.50,0.00,0.54,0.31,CYT
0.39,0.55,0.48,0.31,0.50,0.00,0.54,0.29,CYT
0.41,0.39,0.44,0.34,0.50,0.00,0.48,0.40,NUC
0.36,0.68,0.46,0.16,0.50,0.00,0.53,0.28,NUC
0.42,0.31,0.50,0.15,0.50,0.00,0.53,0.22,NUC
0.54,0.49,0.49,0.20,0.50,0.00,0.52,0.22,CYT
0.42,0.42,0.42,0.20,0.50,0.00,0.49,0.22,ME3
0.44,0.38,0.48,0.32,0.50,0.83,0.53,0.22,POX
0.32,0.42,0.52,0.24,0.50,0.00,0.60,0.22,CYT
0.44,0.42,0.60,0.21,0.50,0.00,0.57,0.22,CYT
0.58,0.58,0.58,0.49,0.50,0.00,0.49,0.26,MIT
0.50,0.52,0.60,0.51,0.50,0.00,0.48,0.22,MIT
0.50,0.40,0.56,0.70,0.50,0.00,0.50,0.22,MIT
0.35,0.66,0.49,0.21,0.50,0.00,0.54,0.25,CYT
0.73,0.83,0.43,0.30,0.50,0.00,0.55,0.22,ME1
0.57,0.41,0.59,0.24,0.50,0.00,0.40,0.22,CYT
0.56,0.41,0.58,0.21,0.50,0.00,0.42,0.22,CYT
0.41,0.45,0.53,0.17,0.50,0.00,0.51,0.25,NUC
0.46,0.54,0.71,0.15,0.50,0.00,0.59,0.22,MIT
0.42,0.57,0.72,0.22,0.50,0.00,0.57,0.22,MIT
0.45,0.27,0.57,0.36,0.50,0.00,0.52,0.18,CYT
0.36,0.68,0.38,0.08,0.50,0.00,0.53,0.25,VAC
0.42,0.32,0.50,0.21,0.50,0.00,0.51,0.22,NUC
0.53,0.61,0.52,0.21,0.50,0.00,0.55,0.30,NUC
0.52,0.54,0.50,0.21,0.50,0.00,0.48,0.30,CYT
0.45,0.56,0.54,0.32,0.50,0.00,0.57,0.22,CYT
0.92,0.61,0.40,0.22,0.50,0.00,0.54,0.22,ME2
0.58,0.53,0.38,0.18,0.50,0.00,0.52,0.22,ME3
0.36,0.46,0.43,0.19,0.50,0.00,0.48,0.22,ME3
0.77,0.87,0.47,0.37,0.50,0.00,0.48,0.22,EXC
0.35,0.46,0.49,0.15,1.00,0.00,0.55,0.35,CYT
0.81,0.82,0.41,0.36,0.50,0.00,0.39,0.22,EXC
0.81,0.90,0.39,0.41,0.50,0.00,0.53,0.22,ME2
0.48,0.35,0.42,0.21,0.50,0.00,0.57,0.22,CYT
0.37,0.33,0.50,0.12,0.50,0.00,0.51,0.54,CYT
