1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,class
-65490.41,7673.742,-509.1063,-93.4129,-144.1919,-96.308,-53.94962,-54.29221,-28.98848,-74.50006,40.94442,31.24413,12.55216,2.191182,-74.99018,E.C.=3.2.1.17
-68905.73,7722.012,-546.4983,-28.28127,-172.3536,-77.20156,-49.3942,-53.14778,-15.63754,-61.6671,38.93989,15.18787,-7.090211,10.94096,-84.79719,E.C.=3.2.1.17
-168328.7,5121.487,345.7695,-15.65615,171.0654,-102.2369,50.12997,-7.261042,-39.46243,-44.63778,99.82664,-65.1821,31.74925,-65.59472,35.1439,E.C.=3.6.1.1
-68872.01,7724.231,-538.9972,-22.13634,-171.584,-76.56951,-52.07056,-58.4303,-23.66069,-54.24376,27.60014,15.42174,-8.224069,17.46488,-71.354,E.C.=3.2.1.17
-37905.25,4907.321,-1129.284,438.3067,-51.63151,-18.82142,24.66604,28.42733,-12.74815,-1.389418,25.92562,-29.28394,-0.9388875,-37.48658,15.57106,E.C.=3.1.27.5
-103780.8,6072.498,17.09474,-201.1154,-63.8717,-318.8703,-23.46428,-16.43368,-47.56781,55.8326,4.652727,-10.21858,35.40413,-18.89986,24.11408,E.C.=2.5.1.18
-52788.81,7510.67,-75.72459,106.3963,39.5037,25.98086,-51.43522,36.95921,-7.255295,-38.83803,25.99740,-21.19554,-15.46137,29.95827,-57.03998,E.C.=3.2.1.17
-53032.93,7575.384,-59.15362,76.12806,49.76163,16.12605,-48.73213,17.98051,-25.06267,-26.33729,33.13870,-29.05131,-12.62017,31.11481,-40.6393,E.C.=3.2.1.17
-68807.77,7740.051,-542.6326,-31.97530,-162.0377,-76.06739,-45.0538,-57.34644,-24.24356,-53.2433,41.73661,41.53069,12.00287,11.61109,-78.60173,E.C.=3.2.1.17
-102983.6,5837.833,-4.641672,-220.7692,-67.12841,-345.5173,-16.27884,-18.06156,-40.30091,65.10912,4.915582,-37.37205,17.99256,-44.21352,20.54236,E.C.=2.5.1.18
-279518.8,6254.697,285.0859,185.2892,-4.387378,347.8094,-151.1025,-32.64119,14.66481,-53.03913,57.95583,54.02224,73.26752,-5.637395,95.1795,E.C.=2.7.2.3
